antecedent,consequent,confidence
[2462],[1905],0.886039886039886
[4227],[571],0.8732394366197183
"[1905, 2470]",[2452],0.8925373134328358
"[2452, 2470]",[1905],0.9492063492063492
"[2862, 3333]",[4306],0.9314641744548287
"[3333, 4306]",[1905],0.907185628742515
"[1905, 3333]",[4306],0.8757225433526011
"[2452, 3333]",[1905],0.9323076923076923
"[1905, 4330]",[3962],0.8735294117647059
"[3962, 4330]",[1905],0.939873417721519
"[1905, 3610]",[1798],0.9025787965616046
"[2452, 3610]",[1905],0.940251572327044
"[1798, 1905]",[2452],0.85625
"[1798, 3610]",[1905],0.8948863636363636
"[571, 4345]",[1905],0.861671469740634
"[1905, 4345]",[571],0.8952095808383234
"[329, 1905]",[2452],0.8888888888888888
"[329, 4306]",[1905],0.9041916167664671
"[329, 2452]",[1905],0.9074626865671642
"[1905, 2874]",[2452],0.8683473389355743
"[2372, 2874]",[1905],0.9166666666666666
"[2874, 3962]",[1905],0.9475308641975309
"[2874, 3938]",[1905],0.926605504587156
"[2874, 4306]",[1905],0.9209726443768997
"[2452, 2874]",[1905],0.9226190476190477
"[1615, 1905]",[4306],0.8768328445747801
"[1615, 4306]",[1905],0.8898809523809523
"[3905, 4306]",[2862],0.9116022099447514
"[2862, 3905]",[4306],0.9322033898305084
"[1905, 3756]",[2452],0.9003021148036254
"[2452, 3756]",[1905],0.8869047619047619
"[483, 1905]",[4306],0.8551532033426184
"[483, 2452]",[1905],0.933933933933934
"[483, 4306]",[1905],0.908284023668639
"[312, 571]",[2452],0.8650137741046832
"[312, 2122]",[571],0.9327217125382263
"[571, 2122]",[2452],0.8473804100227791
"[312, 2862]",[571],0.9134328358208955
"[312, 2452]",[571],0.8997134670487106
"[1406, 1905]",[2452],0.875
"[1406, 3860]",[1905],0.9495268138801262
"[1406, 3938]",[1905],0.9592476489028213
"[1406, 2862]",[1905],0.9541284403669725
"[1406, 2452]",[1905],0.9518413597733711
"[1905, 3320]",[2452],0.8847262247838616
"[3320, 3962]",[1905],0.9287925696594427
"[2452, 3320]",[1905],0.8847262247838616
"[3079, 3962]",[1905],0.9326145552560647
"[1905, 3079]",[3962],0.9057591623036649
"[3938, 3962]",[1905],0.911487758945386
"[1905, 3079, 3938]",[3962],0.9292307692307692
"[1905, 3079, 3962]",[4306],0.884393063583815
"[1905, 3938, 3962]",[2452],0.8966942148760331
"[3079, 3938, 3962]",[1905],0.937888198757764
"[1905, 2452, 3079]",[3962],0.9221556886227545
"[1905, 3079, 4306]",[3962],0.9080118694362018
"[2452, 3079, 4306]",[1905],0.9552715654952076
"[2452, 3079, 3962]",[1905],0.9565217391304348
"[1905, 3962, 4306]",[2452],0.8906560636182903
"[3079, 3962, 4306]",[1905],0.9444444444444444
"[1905, 2580]",[4306],0.8461538461538461
"[2580, 3860]",[1905],0.9230769230769231
"[2580, 3938]",[1905],0.9151515151515152
"[1962, 2580]",[1905],0.8945783132530121
"[2580, 3962]",[1905],0.933933933933934
"[2452, 2580]",[1905],0.9142011834319527
"[2580, 4306]",[1905],0.9085545722713865
"[708, 1905]",[4306],0.8681948424068768
"[708, 2452]",[1905],0.8837209302325582
"[708, 4306]",[1905],0.8731988472622478
"[1102, 1905]",[4306],0.8622589531680441
"[1102, 3962]",[1905],0.945859872611465
"[1102, 3624]",[1905],0.92
"[1102, 1220]",[1905],0.911042944785276
"[1102, 4432]",[1905],0.8978978978978979
"[1102, 4306]",[1905],0.8917378917378918
"[571, 1102]",[1905],0.8794117647058823
"[1799, 1905]",[2452],0.8810810810810811
"[1799, 3962]",[1905],0.9495268138801262
"[607, 1799]",[1905],0.9
"[607, 1905]",[4306],0.8613445378151261
"[1799, 4432]",[1905],0.9154078549848943
"[1799, 2452]",[1905],0.9209039548022598
"[1798, 2452]",[1905],0.9174107142857143
"[299, 2452]",[1905],0.9040697674418605
"[299, 1905]",[4306],0.8651685393258427
"[299, 2862]",[4306],0.8958333333333334
"[299, 4306]",[1905],0.8850574712643678
"[1307, 1905]",[4432],0.8654353562005277
"[1307, 2782]",[1905],0.9428571428571428
"[191, 1307]",[1905],0.9465408805031447
"[191, 1905]",[2452],0.9148073022312373
"[1307, 3938]",[1905],0.9422492401215805
